Date,Award,Name
2019,"MBC 방송연예대상 예능부문 남자 신인상 (마이 리틀 텔레비전 V2, 전지적 참견 시점)",장성규
2019,MBC 방송연예대상 라디오부문 신인상 (굿모닝FM 장성규입니다),장성규
2014,제35회 청룡영화상 인기스타상,김우빈
연도없음,제51회 대종상영화제 하나금융스타상,김우빈
2014,제18회 부천국제판타스틱영화제 판타지아 어워드,김우빈
2014,제9회 아시아모델상시상식 아시아특별상,김우빈
2013,SBS 연기대상 10대스타상,김우빈
2013,중국 TV 드라마 어워즈 해외 최고 인기 아티스트상,김우빈
2013,제2회 대전드라마페스티벌 남자 신인상,김우빈
2013,제8회 아시아모델상시상식 뉴스타상,김우빈
2018,제23회 국가올림픽연합회 어워즈 아웃스탠딩 퍼포먼스상,김연아
2016,체육훈장 청룡장,김연아
2015,국가브랜드대상 스포츠부문,김연아
2014,제8회 포니정 혁신상,김연아
2014,스포츠마케팅 어워드 코리아 올해의 스포츠선수,김연아
2014,제22회 소치 동계올림픽 피겨스케이팅 여자 싱글 은메달,김연아
2014,제68회 전국 남녀피겨스케이팅 종합선수권대회 시니어 여자 싱글 1위,김연아
2013,미국스포츠아카데미 올해의 여자선수상,김연아
2013,골든 스핀 오브 자그레브 여자 싱글 1위,김연아
2013,ISU 세계 피겨스케이팅 선수권대회 여자 싱글 1위,김연아
2013,제67회 전국 남녀피겨스케이팅 종합선수권대회 시니어 여자 싱글 1위,김연아
2012,NRW트로피 시니어 여자 싱글 1위,김연아
2012,제17회 코카콜라 체육대상 공로상,김연아
2012,국민훈장 모란장,김연아
2011,SBS 연예대상 특별상,김연아
2011,제12회 대한민국 국회대상 올해의 공로상,김연아
2011,외신홍보상,김연아
2011,제9회 올해의 브랜드 대상 특별상 스포츠인부문,김연아
2011,제2회 한국관광의 별 특별공로상,김연아
2011,ISU 세계 피겨스케이팅 선수권대회 여자 싱글 2위,김연아
2010,미국 스포츠아카데미 올해의 여자 선수,김연아
2010,올해의 경기도 스포츠 스타상,김연아
2010,스포츠 일러스트레이티드 가장 인상적인 스포츠 선수 10인,김연아
2010,미국 여성스포츠재단 올해의 스포츠우먼,김연아
2010,제5회 자랑스런 한국인상,김연아
2010,미국 타임지 세계에서 가장 영향력 있는 100인,김연아
2010,ISU 세계 피겨스케이팅 선수권대회 여자 싱글 2위,김연아
2010,제21회 밴쿠버 동계올림픽 피겨스케이팅 여자 싱글 금메달,김연아
2009,제1회 대한민국 브랜드 이미지 어워드 문화예술부문,김연아
2009,제40회 경기도체육상 스포츠 스타상,김연아
2009,ISU 그랑프리 파이널 여자 싱글 1위,김연아
2009,제4회 앙드레김 베스트 스타 어워드 스타상,김연아
2009,스케이트 아메리카 여자 싱글 1위,김연아
2009,트로피 에릭 봉파르 여자 싱글 1위,김연아
2009,대한민국광고대상 모델상,김연아
2009,제47회 대한민국체육상 경기부문 최우수상,김연아
2009,ISU 세계 피겨스케이팅 챔피언십 여자 싱글 1위,김연아
2009,제55회 대한체육회 체육상 우수상,김연아
2009,ISU 4대륙 피겨스케이팅 챔피언십 여자 싱글 1위,김연아
2008,대한민국 인재상,김연아
2008,윤곡여성체육대상 최우수선수상,김연아
2008,ISU 그랑프리 파이널 여자 싱글 2위,김연아
2008,제8회 자랑스런 한국인대상 스포츠부문상,김연아
2008,컵 오브 차이나 여자 싱글 1위,김연아
2008,스케이트 아메리카 여자 싱글 1위,김연아
2008,ISU 세계 피겨스케이팅 챔피언십 여자 싱글 3위,김연아
2008,한국 이미지 새싹상,김연아
2007,ISU 그랑프리 파이널 여자 싱글 1위,김연아
2007,컵 오브 러시아 여자 싱글 1위,김연아
2007,컵 오브 차이나 여자 싱글 1위,김연아
2007,제12회 코카콜라 체육대상 최우수선수상,김연아
2007,대한민국 스포츠 레저 문화대상 특별상,김연아
2007,제3회 앙드레김 베스트스타어워드 스포츠스타상,김연아
2007,ISU 세계 피겨스케이팅 챔피언십 여자 싱글 3위,김연아
2007,제53회 대한체육회 체육상 경기부문 최우수상,김연아
2007,제45회 대한민국체육상,김연아
2006,ISU 그랑프리 파이널 1위,김연아
2006,대한민국 국회대상 스포츠부문 대상,김연아
2006,제1호 글로벌인재상,김연아
2006,트로피 에릭 봉파르 여자 싱글 1위,김연아
2006,스케이트 캐나다 여자 싱글 3위,김연아
2006,ISU 주니어 세계 피겨스케이팅 챔피언십 여자 싱글 1위,김연아
2005,제60회 피겨스케이팅 종합선수권대회 여자 시니어부 우승,김연아
2005,ISU 주니어 그랑프리 파이널 여자 싱글 1위,김연아
2005,ISU 주니어 그랑프리 불가리아 대회 여자 싱글 1위,김연아
2005,ISU 주니어 그랑프리 슬로바키아 대회 여자 싱글 1위,김연아
2005,ISU 주니어 세계 피겨스케이팅 챔피언십 여자 싱글 2위,김연아
